000000.png: [0.5214500094539749, -0.853281833651959]
013920.png: [-0.4472135954999579, -0.8944271909999159]
013930.png: [0.3511234415883917, -0.9363291775690445]
013940.png: [0.12403473458920847, -0.9922778767136677]
013950.png: [0.1168412475673972, -0.9931506043228762]
013960.png: [-0.40613846605344767, -0.9138115486202573]
013970.png: [0.1414213562373095, -0.9899494936611665]
013980.png: [0.6549305384178419, -0.7556890827898176]
013990.png: [0.06237828615518053, -0.9980525784828885]
014000.png: [-0.5913636636275174, -0.8064049958557055]
014010.png: [-0.03843312210120439, -0.9992611746313143]
014020.png: [-0.039968038348871575, -0.9992009587217894]
014030.png: [-0.6332377902572627, -0.773957299203321]
014040.png: [-0.25242189714700275, -0.9676172723968438]
014050.png: [0.1643989873053573, -0.9863939238321437]
014060.png: [0.4008188340197078, -0.9161573349021892]
014070.png: [0.2124296443310437, -0.9771763639228009]
014080.png: [-0.07669649888473704, -0.9970544855015815]
014090.png: [-0.7071067811865476, -0.7071067811865476]
014100.png: [-0.49613893835683387, -0.8682431421244593]
014110.png: [-0.5070201265633938, -0.8619342151577695]
014120.png: [-0.12403473458920847, -0.9922778767136677]
014130.png: [0.31622776601683794, -0.9486832980505138]
014140.png: [0.09480909262799544, -0.9954954725939521]
014150.png: [-0.14834045293024462, -0.9889363528682975]
014160.png: [0.49026123963255896, -0.8715755371245493]
014170.png: [-0.1414213562373095, -0.9899494936611665]
014180.png: [-0.14834045293024462, -0.9889363528682975]
014190.png: [0.31622776601683794, -0.9486832980505138]
014200.png: [0.39391929857916763, -0.9191450300180578]
014210.png: [-0.21693045781865616, -0.9761870601839528]
014220.png: [0.3713906763541037, -0.9284766908852594]
014230.png: [0.0, -1.0]
014240.png: [0.5692099788303083, -0.8221921916437787]
014250.png: [-0.2290393337255473, -0.973417168333576]
014260.png: [0.49613893835683387, -0.8682431421244593]
014270.png: [0.46788772041903276, -0.8837879163470619]
014280.png: [-0.2060104810498419, -0.9785497849867489]
014290.png: [-0.5038710255240862, -0.8637789008984335]
014300.png: [-0.49613893835683387, -0.8682431421244593]
014310.png: [-0.19611613513818404, -0.9805806756909202]
014320.png: [-0.6357072528610997, -0.7719302356170498]
014330.png: [-0.49613893835683387, -0.8682431421244593]
014340.png: [-0.19611613513818404, -0.9805806756909202]
014350.png: [0.0, -1.0]
014360.png: [0.07124704998790965, -0.9974586998307351]
014370.png: [-0.31622776601683794, -0.9486832980505138]
014380.png: [-0.2060104810498419, -0.9785497849867489]
014390.png: [-0.6139406135149205, -0.7893522173763263]
014400.png: [-0.7071067811865476, -0.7071067811865476]
014410.png: [-0.2060104810498419, -0.9785497849867489]
014420.png: [-0.07669649888473704, -0.9970544855015815]
014430.png: [-0.28, -0.96]
014440.png: [-0.4657464328326223, -0.8849182223819824]
014450.png: [-0.39391929857916763, -0.9191450300180578]
014460.png: [-0.5407575913134987, -0.8411784753765535]
014470.png: [0.6, -0.8]
014480.png: [-0.5038710255240862, -0.8637789008984335]
014490.png: [0.6, -0.8]
014500.png: [0.38074980525429486, -0.924678098474716]
014510.png: [-0.4103646773287979, -0.9119215051751064]
014520.png: [-0.47409982303501746, -0.8804710999221753]
014530.png: [-0.4657464328326223, -0.8849182223819824]
014540.png: [-0.08304547985373997, -0.9965457582448796]
014550.png: [0.0, -1.0]
014560.png: [0.6357072528610997, -0.7719302356170498]
014570.png: [0.1414213562373095, -0.9899494936611665]
014580.png: [0.03331483023263848, -0.9994449069791543]
014590.png: [0.03331483023263848, -0.9994449069791543]
014600.png: [0.27472112789737807, -0.9615239476408232]
014610.png: [-0.2696299255199709, -0.9629640197141817]
014620.png: [0.27472112789737807, -0.9615239476408232]
014630.png: [0.413802944301184, -0.9103664774626047]
014640.png: [-0.40613846605344767, -0.9138115486202573]
014650.png: [0.3363363969981562, -0.9417419115948374]
014660.png: [-0.5665288228870652, -0.8240419241993676]
014670.png: [0.4788521306805733, -0.8778955729143844]
014680.png: [-0.31622776601683794, -0.9486832980505138]
014690.png: [0.5432512781572743, -0.8395701571521512]
014700.png: [0.0, -1.0]
014710.png: [0.2940858488375231, -0.95577900872195]
014720.png: [-0.03446227583977888, -0.9994059993535875]
014730.png: [-0.31622776601683794, -0.9486832980505138]
014740.png: [0.25242189714700275, -0.9676172723968438]
014750.png: [-0.3285206249412727, -0.944496796706159]
014760.png: [-0.34731435582359393, -0.9377487607237036]
014770.png: [-0.1414213562373095, -0.9899494936611665]
014780.png: [0.21693045781865616, -0.9761870601839528]
014790.png: [-0.7327934916262993, -0.6804510993672779]
014800.png: [-0.48564293117863205, -0.8741572761215377]
014810.png: [0.039968038348871575, -0.9992009587217894]
014820.png: [-0.2873478855663454, -0.9578262852211513]
014830.png: [0.3511234415883917, -0.9363291775690445]
014840.png: [-0.09950371902099892, -0.9950371902099892]
014850.png: [0.3303504247281061, -0.9438583563660173]
014860.png: [0.24253562503633297, -0.9701425001453319]
014870.png: [-0.19611613513818402, -0.9805806756909201]
014880.png: [-0.058722021951470346, -0.9982743731749958]
014890.png: [-0.4640069946705576, -0.8858315352801555]
014900.png: [0.23464053310389682, -0.9720822085732868]
014910.png: [0.0, -1.0]
014920.png: [0.25096215878372613, -0.9679968981658008]
014930.png: [0.06049506040189035, -0.9981684966311908]
014940.png: [0.31622776601683794, -0.9486832980505138]
014950.png: [-0.49613893835683387, -0.8682431421244593]
014960.png: [0.38461538461538464, -0.9230769230769231]
014970.png: [-0.42993358039234775, -0.9028605188239303]
014980.png: [0.0, -1.0]
014990.png: [-0.045407660918649985, -0.9989685402102997]
015000.png: [0.413802944301184, -0.9103664774626047]
015010.png: [0.47058823529411764, -0.8823529411764706]
015020.png: [0.4472135954999579, -0.8944271909999159]
015030.png: [0.25766265056033233, -0.9662349396012463]
015040.png: [0.07669649888473705, -0.9970544855015816]
015050.png: [0.31622776601683794, -0.9486832980505138]
015060.png: [0.12716431598536546, -0.9918816646858506]
015070.png: [-0.2272296156064184, -0.9738412097417932]
015080.png: [0.2849702680829619, -0.9585363562790536]
015090.png: [0, 0]
015100.png: [0, 0]
015110.png: [0.13216372009101796, -0.9912279006826347]
015120.png: [0, 0]
015130.png: [0.4472135954999579, -0.8944271909999159]
015140.png: [0.13216372009101796, -0.9912279006826347]
015150.png: [-0.31622776601683794, -0.9486832980505138]
015160.png: [-0.2060104810498419, -0.9785497849867489]
015170.png: [-0.4472135954999579, -0.8944271909999159]
015180.png: [0.03843312210120439, -0.9992611746313143]
015190.png: [-0.2060104810498419, -0.9785497849867489]
015200.png: [0.34570535882735637, -0.9383431168171101]
015210.png: [-0.3589790793088691, -0.9333456062030595]
015220.png: [0.0, -1.0]
015230.png: [-0.40273861426601687, -0.9153150324227656]
015240.png: [-0.21693045781865616, -0.9761870601839528]
015250.png: [0.05547001962252291, -0.9984603532054125]
015260.png: [-0.6052934820244066, -0.7960023873197676]
015270.png: [-0.3417430630867044, -0.939793423488437]
015280.png: [0.18884739365012448, -0.9820064469806473]
015290.png: [0.06237828615518053, -0.9980525784828885]
015300.png: [-0.2873478855663454, -0.9578262852211513]
015310.png: [-0.1559625734730109, -0.9877629653290692]
015320.png: [0.06651901052377393, -0.9977851578566089]
015330.png: [-0.4103646773287979, -0.9119215051751064]
015340.png: [-0.242535625036333, -0.970142500145332]
015350.png: [0.047565149415449405, -0.9988681377244375]
015360.png: [0.8320502943378436, -0.554700196225229]
015370.png: [0.8804710999221753, -0.47409982303501746]
015380.png: [0.09950371902099892, -0.9950371902099892]
015390.png: [0.058722021951470346, -0.9982743731749958]
015400.png: [-0.4472135954999579, -0.8944271909999159]
015410.png: [0.7926239891046, -0.6097107608496923]
015420.png: [0.11914522061843064, -0.992876838486922]
015430.png: [0.3011313679370973, -0.9535826651341416]
015440.png: [0.0, -1.0]
015450.png: [-0.21693045781865616, -0.9761870601839528]
015460.png: [-0.14834045293024462, -0.9889363528682975]
015470.png: [-0.7371541402007414, -0.6757246285173463]
015480.png: [-0.5038710255240862, -0.8637789008984335]
015490.png: [-0.4472135954999579, -0.8944271909999159]
015500.png: [0.11914522061843064, -0.992876838486922]
015510.png: [-0.38461538461538464, -0.9230769230769231]
015520.png: [-0.14834045293024462, -0.9889363528682975]
015530.png: [-0.1414213562373095, -0.9899494936611665]
015540.png: [-0.5881716976750462, -0.8087360843031884]
015550.png: [-0.17888543819998318, -0.9838699100999074]
015560.png: [-0.18884739365012448, -0.9820064469806473]
015570.png: [-0.1559625734730109, -0.9877629653290692]
015580.png: [-0.5931990380498501, -0.8050558373533679]
015590.png: [-0.13216372009101796, -0.9912279006826347]
015600.png: [-0.13663739713703102, -0.9906211292434748]
015610.png: [-0.6, -0.8]
015620.png: [-0.21693045781865616, -0.9761870601839528]
015630.png: [0.1520571842539411, -0.9883716976506172]
015640.png: [0.31622776601683794, -0.9486832980505138]
015650.png: [0.1643989873053573, -0.9863939238321437]
015660.png: [-0.1414213562373095, -0.9899494936611665]
015670.png: [-0.7432941462471664, -0.6689647316224497]
015680.png: [0.1643989873053573, -0.9863939238321437]
015690.png: [-0.242535625036333, -0.970142500145332]
015700.png: [-0.5931990380498501, -0.8050558373533679]
015710.png: [-0.48564293117863205, -0.8741572761215377]
015720.png: [-0.6782801027330658, -0.7348034446274879]
015730.png: [-0.39391929857916763, -0.9191450300180578]
015740.png: [-0.09950371902099892, -0.9950371902099892]
015750.png: [0.17134117475124774, -0.9852117548196745]
015760.png: [-0.8637789008984335, -0.5038710255240862]
015770.png: [0.11043152607484655, -0.9938837346736189]
015780.png: [0.2873478855663454, -0.9578262852211513]
015790.png: [-0.7682212795973759, -0.6401843996644799]
015800.png: [-0.1643989873053573, -0.9863939238321437]
015810.png: [-0.17888543819998318, -0.9838699100999074]
015820.png: [-0.2216211035889681, -0.9751328557914597]
015830.png: [-0.7295372041400852, -0.6839411288813297]
015840.png: [-0.7071067811865476, -0.7071067811865476]
015850.png: [-0.17888543819998318, -0.9838699100999074]
015860.png: [0.09053574604251853, -0.9958932064677039]
015870.png: [-0.4472135954999579, -0.8944271909999159]
015880.png: [-0.6507913734559685, -0.7592566023652966]
015890.png: [-0.5144957554275265, -0.8574929257125441]
015900.png: [-0.5812381937190965, -0.813733471206735]
015910.png: [0.5038710255240862, -0.8637789008984335]
015920.png: [-0.07669649888473704, -0.9970544855015815]
015930.png: [0.5692099788303083, -0.8221921916437787]
015940.png: [0.3363363969981562, -0.9417419115948374]
015950.png: [-0.48564293117863205, -0.8741572761215377]
015960.png: [-0.38461538461538464, -0.9230769230769231]
015970.png: [-0.5038710255240862, -0.8637789008984335]
015980.png: [-0.052558833122763673, -0.9986178293325098]
015990.png: [0.5368754921931592, -0.8436614877321075]
016000.png: [-0.6178215519319035, -0.7863183388224225]
016010.png: [-0.08304547985373997, -0.9965457582448796]
016020.png: [0.25242189714700275, -0.9676172723968438]
016030.png: [-0.242535625036333, -0.970142500145332]
016040.png: [0.38461538461538464, -0.9230769230769231]
016050.png: [0.4190581774617469, -0.9079593845004517]
016060.png: [-0.39391929857916763, -0.9191450300180578]
016070.png: [0.0, -1.0]
016080.png: [0.0, -1.0]
016090.png: [0.19611613513818404, -0.9805806756909201]
016100.png: [-0.12403473458920847, -0.9922778767136677]
016110.png: [-0.27472112789737807, -0.9615239476408232]
016120.png: [-0.47409982303501746, -0.8804710999221753]
016130.png: [0.0, -1.0]
016140.png: [0.4008188340197078, -0.9161573349021892]
016150.png: [0.0, -1.0]
016160.png: [-0.28734788556634544, -0.9578262852211514]
016170.png: [0.2498780190217697, -0.9682773237093576]
016180.png: [-0.3442546491584232, -0.9388763158866086]
016190.png: [-0.2498780190217697, -0.9682773237093576]
016200.png: [-0.03843312210120439, -0.9992611746313143]
016210.png: [0.18428853505018536, -0.9828721869343219]
016220.png: [-0.46788772041903276, -0.8837879163470619]
016230.png: [-0.12403473458920847, -0.9922778767136677]
016240.png: [-0.18428853505018536, -0.9828721869343219]
016250.png: [0.058722021951470346, -0.9982743731749958]
016260.png: [0.3271105638831663, -0.9449860734402582]
016270.png: [-0.037011660509880265, -0.9993148337667671]
016280.png: [0.3271105638831663, -0.9449860734402582]
016290.png: [0.24253562503633297, -0.9701425001453319]
016300.png: [-0.4257970363298796, -0.9048187022009941]
016310.png: [-0.21693045781865616, -0.9761870601839528]
016320.png: [-0.27472112789737807, -0.9615239476408232]
016330.png: [-0.17378533390904768, -0.9847835588179369]
016340.png: [0.12403473458920847, -0.9922778767136677]
016350.png: [0.21693045781865616, -0.9761870601839528]
016360.png: [-0.40613846605344767, -0.9138115486202573]
016370.png: [-0.994309153919809, 0.10653312363426524]
016380.png: [0.12403473458920847, -0.9922778767136677]
016390.png: [-0.19611613513818402, -0.9805806756909201]
016400.png: [-0.13216372009101796, -0.9912279006826347]
016410.png: [-0.6757246285173463, -0.7371541402007414]
016420.png: [-0.11043152607484653, -0.9938837346736188]
016430.png: [0.39391929857916763, -0.9191450300180578]
016440.png: [-0.18428853505018536, -0.9828721869343219]
016450.png: [0.0, -1.0]
016460.png: [0.6726727939963124, -0.7399400733959437]
016470.png: [0.6357072528610997, -0.7719302356170498]
016480.png: [0.6839411288813297, -0.7295372041400852]
016490.png: [-0.1871121078899952, -0.9823385664224747]
016500.png: [0.21693045781865616, -0.9761870601839528]
016510.png: [0.4472135954999579, -0.8944271909999159]
016520.png: [0.658504607868518, -0.7525766947068778]
016530.png: [-0.5734623443633283, -0.8192319205190405]
016540.png: [0.0, -1.0]
016550.png: [-0.13511320473331348, -0.9908301680442989]
016560.png: [0.2544932992796438, -0.9670745372626465]
016570.png: [-0.13511320473331348, -0.9908301680442989]
016580.png: [-0.19611613513818404, -0.9805806756909202]
016590.png: [0.6357072528610997, -0.7719302356170498]
016600.png: [0.4190581774617469, -0.9079593845004517]
016610.png: [0.0, -1.0]
016620.png: [0.40613846605344767, -0.9138115486202573]
016630.png: [-0.3713906763541038, -0.9284766908852594]
016640.png: [0.46256600669501985, -0.8865848461654547]
016650.png: [0.19611613513818402, -0.9805806756909201]
016660.png: [0.43145549730400484, -0.9021342216356465]
016670.png: [0.33871946827274163, -0.9408874118687268]
016680.png: [0.6, -0.8]
016690.png: [-0.3713906763541038, -0.9284766908852594]
016700.png: [0.6139406135149205, -0.7893522173763263]
016710.png: [-0.2290393337255473, -0.973417168333576]
016720.png: [0.1520571842539411, -0.9883716976506172]
016730.png: [0.5547001962252291, -0.8320502943378437]
016740.png: [-0.42808634473904467, -0.9037378388935388]
016750.png: [0.17888543819998318, -0.9838699100999074]
016760.png: [0.413802944301184, -0.9103664774626047]
016770.png: [0.1643989873053573, -0.9863939238321437]
016780.png: [0.1414213562373095, -0.9899494936611665]
016790.png: [0.1414213562373095, -0.9899494936611665]
016800.png: [-0.1559625734730109, -0.9877629653290692]
016810.png: [0.10468478451804275, -0.9945054529214061]
016820.png: [0.1559625734730109, -0.9877629653290692]
016830.png: [0.38461538461538464, -0.9230769230769231]
016840.png: [-0.413802944301184, -0.9103664774626047]
016850.png: [-0.3713906763541037, -0.9284766908852594]
016860.png: [-0.1643989873053573, -0.9863939238321437]
016870.png: [-0.5913636636275174, -0.8064049958557055]
016880.png: [-0.3713906763541037, -0.9284766908852594]
016890.png: [-0.5240974256643347, -0.851658316704544]
016900.png: [-0.3303504247281061, -0.9438583563660173]
016910.png: [-0.303203657276947, -0.9529257800132619]
016920.png: [0.413802944301184, -0.9103664774626047]
016930.png: [-0.5240974256643347, -0.851658316704544]
016940.png: [0.27472112789737807, -0.9615239476408232]
016950.png: [0.39872611141444997, -0.9170700562532349]
016960.png: [-0.413802944301184, -0.9103664774626047]
016970.png: [-0.3303504247281061, -0.9438583563660173]
016980.png: [0.0, -1.0]
016990.png: [-0.047565149415449405, -0.9988681377244375]
017000.png: [-0.5010362705417046, -0.8654262854811262]
017010.png: [0.25242189714700275, -0.9676172723968438]
017020.png: [0.07974522228289, -0.996815278536125]
017030.png: [0.3271105638831663, -0.9449860734402582]
017040.png: [0.10468478451804275, -0.9945054529214061]
017050.png: [-0.09334070869305827, -0.9956342260592882]
017060.png: [-0.03843312210120439, -0.9992611746313143]
017070.png: [-0.52999894000318, -0.847998304005088]
017080.png: [-0.2676438637860946, -0.9635179096299405]
017090.png: [-0.389639990836698, -0.9209672510685588]
017100.png: [0.19611613513818402, -0.9805806756909201]
017110.png: [-0.18428853505018536, -0.9828721869343219]
017120.png: [-0.08304547985373997, -0.9965457582448796]
017130.png: [-0.07974522228289, -0.996815278536125]
017140.png: [-0.3328201177351375, -0.9429903335828895]
017150.png: [0.2544932992796438, -0.9670745372626465]
017160.png: [0, 0]
017170.png: [-0.039968038348871575, -0.9992009587217894]
017180.png: [-0.09950371902099892, -0.9950371902099892]
017190.png: [-0.10468478451804275, -0.9945054529214061]
017200.png: [-0.5038710255240862, -0.8637789008984335]
017210.png: [0.0, -1.0]
017220.png: [-0.40613846605344767, -0.9138115486202573]
017230.png: [-0.07124704998790965, -0.9974586998307351]
017240.png: [0.0, -1.0]
017250.png: [0.0, -1.0]
017260.png: [-0.6459422414661737, -0.7633862853691145]
017270.png: [-0.10468478451804275, -0.9945054529214061]
017280.png: [0.21693045781865616, -0.9761870601839528]
017290.png: [-0.6757246285173463, -0.7371541402007414]
017300.png: [-0.1643989873053573, -0.9863939238321437]
017310.png: [0.3328201177351375, -0.9429903335828895]
017320.png: [0.23162052730603974, -0.9728062146853669]
017330.png: [-0.47409982303501746, -0.8804710999221753]
017340.png: [0, 0]
017350.png: [-0.5432512781572743, -0.8395701571521512]
017360.png: [0.19611613513818404, -0.9805806756909201]
017370.png: [-0.14834045293024462, -0.9889363528682975]
017380.png: [0.12933918406776806, -0.9916004111862218]
017390.png: [-0.06438227799796505, -0.9979253089684582]
017400.png: [0.46788772041903276, -0.8837879163470619]
017410.png: [-0.6, -0.8]
017420.png: [0.24253562503633297, -0.9701425001453319]
017430.png: [-0.5339929913879817, -0.8454889030309711]
017440.png: [-0.1028991510855053, -0.9946917938265513]
017450.png: [0.2544932992796438, -0.9670745372626465]
017460.png: [0, 0]
017470.png: [-0.1592324388246205, -0.9872411207126471]
017480.png: [0.1028991510855053, -0.9946917938265513]
017490.png: [-0.1592324388246205, -0.9872411207126471]
017500.png: [0.14834045293024462, -0.9889363528682975]
017510.png: [0.09950371902099892, -0.9950371902099892]
017520.png: [-0.4762831485407526, -0.879291966536774]
017530.png: [-0.2124296443310437, -0.9771763639228009]
017540.png: [-0.1643989873053573, -0.9863939238321437]
017550.png: [0.09950371902099892, -0.9950371902099892]
017560.png: [-0.47058823529411764, -0.8823529411764706]
017570.png: [-0.42288546533112387, -0.9061831399952655]
017580.png: [-0.42288546533112387, -0.9061831399952655]
017590.png: [-0.5547001962252291, -0.8320502943378437]
017600.png: [-0.47058823529411764, -0.8823529411764706]
017610.png: [-0.7071067811865476, -0.7071067811865476]
017620.png: [-0.18884739365012448, -0.9820064469806473]
017630.png: [-0.5881716976750462, -0.8087360843031884]
017640.png: [0.22485950669875843, -0.9743911956946198]
017650.png: [-0.13216372009101796, -0.9912279006826347]
017660.png: [-0.48564293117863205, -0.8741572761215377]
017670.png: [0.18884739365012448, -0.9820064469806473]
017680.png: [-0.19611613513818404, -0.9805806756909202]
017690.png: [0.18884739365012448, -0.9820064469806473]
017700.png: [0.1520571842539411, -0.9883716976506172]
017710.png: [-0.06880209161537815, -0.997630328422983]
017720.png: [-0.19611613513818404, -0.9805806756909202]
017730.png: [-0.5010362705417046, -0.8654262854811262]
017740.png: [-0.7682212795973759, -0.6401843996644799]
017750.png: [0.31622776601683794, -0.9486832980505138]
017760.png: [-0.2060104810498419, -0.9785497849867489]
017770.png: [-0.10468478451804275, -0.9945054529214061]
017780.png: [0.554700196225229, -0.8320502943378436]
017790.png: [0.39391929857916763, -0.9191450300180578]
017800.png: [0.5633368246415097, -0.8262273428075476]
017810.png: [-0.09950371902099892, -0.9950371902099892]
017820.png: [0.1520571842539411, -0.9883716976506172]
017830.png: [0.3250797685110479, -0.9456865993048666]
017840.png: [0.5199469468957453, -0.8541985556144386]
017850.png: [-0.19611613513818404, -0.9805806756909202]
017860.png: [0.17378533390904768, -0.9847835588179369]
017870.png: [-0.1559625734730109, -0.9877629653290692]
017880.png: [0.21693045781865616, -0.9761870601839528]
017890.png: [-0.5220447113523097, -0.8529181199558863]
017900.png: [0.1643989873053573, -0.9863939238321437]
017910.png: [0.1520571842539411, -0.9883716976506172]
017920.png: [0.4257970363298796, -0.9048187022009941]
017930.png: [-0.19611613513818404, -0.9805806756909202]
017940.png: [-0.086629616364842, -0.996240588195683]
017950.png: [-0.1168412475673972, -0.9931506043228762]
017960.png: [-0.7071067811865476, -0.7071067811865476]
017970.png: [-0.5547001962252291, -0.8320502943378437]
017980.png: [-0.42993358039234775, -0.9028605188239303]
017990.png: [0.23162052730603974, -0.9728062146853669]
018000.png: [-0.5368754921931592, -0.8436614877321075]
018010.png: [-0.09950371902099892, -0.9950371902099892]
018020.png: [-0.1168412475673972, -0.9931506043228762]
018030.png: [-0.6332377902572627, -0.773957299203321]
018040.png: [0.3363363969981562, -0.9417419115948374]
018050.png: [0.0, -1.0]
018060.png: [0.38461538461538464, -0.9230769230769231]
018070.png: [-0.1028991510855053, -0.9946917938265513]
018080.png: [-0.3713906763541037, -0.9284766908852593]
018090.png: [0.19611613513818404, -0.9805806756909201]
018100.png: [-0.4327310675847713, -0.9015230574682735]
018110.png: [-0.34731435582359393, -0.9377487607237036]
018120.png: [-0.17888543819998318, -0.9838699100999074]
018130.png: [0.1520571842539411, -0.9883716976506172]
018140.png: [-0.5010362705417046, -0.8654262854811262]
018150.png: [-0.3417430630867044, -0.939793423488437]
018160.png: [-0.1414213562373095, -0.9899494936611665]
018170.png: [-0.31622776601683794, -0.9486832980505138]
018180.png: [0.3303504247281061, -0.9438583563660173]
018190.png: [-0.5339929913879817, -0.8454889030309711]
018200.png: [-0.17888543819998318, -0.9838699100999074]
018210.png: [0.38074980525429486, -0.924678098474716]
018220.png: [-0.11043152607484653, -0.9938837346736188]
018230.png: [-0.086629616364842, -0.996240588195683]
018240.png: [-0.1168412475673972, -0.9931506043228762]
018250.png: [-0.5881716976750462, -0.8087360843031884]
018260.png: [-0.6689647316224497, -0.7432941462471664]
018270.png: [-0.39391929857916763, -0.9191450300180578]
018280.png: [0.2124296443310437, -0.9771763639228009]
018290.png: [-0.5734623443633283, -0.8192319205190405]
018300.png: [-0.06237828615518053, -0.9980525784828885]
018310.png: [-0.058722021951470346, -0.9982743731749958]
018320.png: [-0.6332377902572627, -0.773957299203321]
018330.png: [0.27472112789737807, -0.9615239476408232]
018340.png: [-0.19611613513818402, -0.9805806756909201]
018350.png: [0, 0]
018360.png: [-0.12403473458920847, -0.9922778767136677]
018370.png: [-0.42993358039234775, -0.9028605188239303]
018380.png: [0.23162052730603974, -0.9728062146853669]
018390.png: [-0.6305926250944658, -0.7761140001162655]
018400.png: [-0.3786328457205041, -0.9255469562056767]
018410.png: [-0.18428853505018536, -0.9828721869343219]
018420.png: [0, 0]
018430.png: [-0.5407575913134987, -0.8411784753765535]
018440.png: [-0.1643989873053573, -0.9863939238321437]
018450.png: [-0.25242189714700275, -0.9676172723968438]
018460.png: [-0.19611613513818404, -0.9805806756909202]
018470.png: [0.2873478855663454, -0.9578262852211513]
018480.png: [-0.5812381937190965, -0.813733471206735]
018490.png: [-0.1168412475673972, -0.9931506043228762]
018500.png: [0.5010362705417046, -0.8654262854811262]
018510.png: [0.07669649888473704, -0.9970544855015815]
018520.png: [0.0, -1.0]
018530.png: [0.05547001962252291, -0.9984603532054125]
018540.png: [-0.5038710255240862, -0.8637789008984335]
018550.png: [-0.6246950475544243, -0.7808688094430304]
018560.png: [-0.3285206249412727, -0.944496796706159]
018570.png: [0.3786328457205041, -0.9255469562056767]
018580.png: [-0.5144957554275265, -0.8574929257125441]
018590.png: [-0.05547001962252291, -0.9984603532054125]
018600.png: [0.0, -1.0]
018610.png: [-0.5547001962252291, -0.8320502943378437]
018620.png: [0.47409982303501746, -0.8804710999221753]
018630.png: [0.04993761694389223, -0.9987523388778445]
018640.png: [0.42288546533112387, -0.9061831399952655]
018650.png: [-0.06651901052377393, -0.9977851578566089]
018660.png: [-0.33871946827274163, -0.9408874118687268]
018670.png: [0.31622776601683794, -0.9486832980505138]
018680.png: [-0.3271105638831663, -0.9449860734402582]
018690.png: [-0.3589790793088691, -0.9333456062030595]
018700.png: [-0.09480909262799544, -0.9954954725939521]
018710.png: [0.2696299255199709, -0.9629640197141817]
018720.png: [-0.6782801027330658, -0.7348034446274879]
018730.png: [-0.3713906763541037, -0.9284766908852594]
018740.png: [-0.039968038348871575, -0.9992009587217894]
018750.png: [0, 0]
018760.png: [0.3713906763541037, -0.9284766908852594]
018770.png: [-0.658504607868518, -0.7525766947068778]
018780.png: [-0.10468478451804275, -0.9945054529214061]
018790.png: [0.7310552682428689, -0.682318250360011]
018800.png: [0.3417430630867044, -0.939793423488437]
018810.png: [0.17134117475124774, -0.9852117548196745]
018820.png: [0.13216372009101796, -0.9912279006826347]
018830.png: [-0.38461538461538464, -0.9230769230769231]
018840.png: [-0.48564293117863205, -0.8741572761215377]
018850.png: [-0.14834045293024462, -0.9889363528682975]
018860.png: [0.4472135954999579, -0.8944271909999159]
018870.png: [-0.08304547985373997, -0.9965457582448796]
018880.png: [0.1643989873053573, -0.9863939238321437]
018890.png: [0.20952908873087345, -0.9778024140774094]
018900.png: [-0.4788521306805733, -0.8778955729143844]
018910.png: [0.8087360843031884, -0.5881716976750462]
018920.png: [0.3363363969981562, -0.9417419115948374]
018930.png: [0.7399400733959437, -0.6726727939963124]
018940.png: [-0.05121475197315839, -0.9986876634765887]
018950.png: [-0.274721127897378, -0.9615239476408232]
018960.png: [-0.18589166810485064, -0.9825702456970676]
018970.png: [-0.4338156187728999, -0.9010016697590998]
018980.png: [-0.4338156187728999, -0.9010016697590998]
018990.png: [-0.5010362705417046, -0.8654262854811262]
019000.png: [-0.274721127897378, -0.9615239476408232]
019010.png: [-0.3713906763541038, -0.9284766908852594]
019020.png: [-0.06880209161537815, -0.997630328422983]
019030.png: [0.1871121078899952, -0.9823385664224747]
019040.png: [-0.13045451257138735, -0.9914542955425437]
019050.png: [-0.06880209161537815, -0.997630328422983]
019060.png: [-0.4338156187728999, -0.9010016697590998]
019070.png: [-0.554700196225229, -0.8320502943378436]
019080.png: [0.20165292067048707, -0.9794570432566515]
019090.png: [-0.03331483023263848, -0.9994449069791543]
019100.png: [-0.48564293117863205, -0.8741572761215377]
019110.png: [0.037011660509880265, -0.9993148337667671]
019120.png: [0.03569153051241249, -0.9993628543475496]
019130.png: [-0.5432512781572743, -0.8395701571521512]
019140.png: [0.0, -1.0]
019150.png: [0.4472135954999579, -0.8944271909999159]
019160.png: [-0.3363363969981562, -0.9417419115948374]
019170.png: [0.18884739365012448, -0.9820064469806473]
019180.png: [-0.29116161578269606, -0.9566738804288585]
019190.png: [0.0, -1.0]
019200.png: [0.17888543819998318, -0.9838699100999074]
019210.png: [-0.3417430630867044, -0.939793423488437]
019220.png: [0.045407660918649985, -0.9989685402102997]
019230.png: [0.4103646773287979, -0.9119215051751064]
019240.png: [-0.2631174057921088, -0.9647638212377322]
019250.png: [-0.43145549730400484, -0.9021342216356465]
019260.png: [-0.5339929913879817, -0.8454889030309711]
019270.png: [-0.47058823529411764, -0.8823529411764706]
019280.png: [0.21693045781865616, -0.9761870601839528]
019290.png: [-0.5812381937190965, -0.813733471206735]
019300.png: [-0.3271105638831663, -0.9449860734402582]
019310.png: [0.242535625036333, -0.970142500145332]
019320.png: [-0.4472135954999579, -0.8944271909999159]
019330.png: [-0.2290393337255473, -0.973417168333576]
019340.png: [-0.1643989873053573, -0.9863939238321437]
019350.png: [-0.5144957554275266, -0.8574929257125442]
